23	SYNGAP1	6
23	SIAH2	21
23	CDK4	24
23	EFCAB7	2
23	NDE1	3
23	TGFB1	14
23	DCLRE1A	3
23	SIAH1	2
23	PARP2	7
23	BARD1	2
23	WWOX	2
23	PIK3CA	5
23	NEK2	0.6
23	RPS6KA6	1
23	MYL9	881
23	TUBA3D	0.8
23	SEMA5A	2
23	BCL2L11	3
23	POLR2A	28
23	TPX2	3
23	CLASP2	5
23	PPP2R1A	25
23	SFI1	1
23	XRCC3	0.6
23	BCAR1	2
23	NEDD8	14
23	DPYSL3	126
23	SLIT2	19
23	CRK	30
23	TREM2	0.5
23	NTHL1	2
23	ARHGAP27	2
23	POLR2J	9
23	UBE2C	2
23	XPO1	20
23	ERCC1	7
23	DIABLO	2
23	RBBP8	10
23	EFNA4	3
23	YES1	14
23	PLCG1	12
23	DYNC2H1	3
23	NR3C1	15
23	PPP1R12A	24
23	MAPK10	5
23	PSMD13	18
23	RFC2	8
23	BRE	14
23	TRPC6	3
23	ARHGEF19	2
23	MYBL2	0.8
23	SUMO1	35
23	PIK3CD	3
23	PMS2	3
23	LIMK2	9
23	SET	69
23	PTPN18	11
23	EFNB3	3
23	EPAS1	52
23	RBL2	19
23	DAB2IP	13
23	POLE3	19
23	HIST1H3E	0.5
23	HSPB1	88
23	RCHY1	4
23	CHN1	5
23	COPS2	14
23	USP7	20
23	ISG15	7
23	PIP5K1B	1
23	RBBP4	17
23	CCNA1	1
23	PSMD4	30
23	PSMB1	48
23	GPR161	11
23	DCLRE1B	4
23	ATR	3
23	DNM3	0.7
23	PLXNB1	10
23	PARD3	13
23	DCLRE1C	2
23	ANOS1	0.5
23	WDR35	6
23	PSENEN	9
23	ARHGAP9	1
23	EPHA1	0.8
23	PPP1CA	18
23	MYH9	119
23	KIF4A	0.7
23	ADCY7	0.7
23	SPRTN	2
23	TYMS	6
23	TRPC4	7
23	MLH1	14
23	PNKP	4
23	FANCI	3
23	EPHA2	4
23	NMT1	19
23	ARHGEF18	0.6
23	RASGRF2	2
23	TFDP1	20
23	RAD50	8
23	RGMA	2
23	EME2	1
23	CDC7	2
23	KITLG	11
23	CAP2	26
23	RAD51AP1	2
23	SEMA3E	0.9
23	POLD1	1
23	CEP290	3
23	PLXNA3	2
23	P4HB	62
23	POLK	5
23	CDON	10
23	TDP2	12
23	RPA3	3
23	VASP	45
23	USP1	14
23	IQCE	3
23	CENPJ	4
23	SRGAP1	0.8
23	RNF41	9
23	CYCS	30
23	YAP1	52
23	CCNE2	0.7
23	STAP2	2
23	BLM	0.5
23	SEMA4D	1
23	FTO	8
23	NCOR1	10
23	PLK4	2
23	IL6	6
23	MCRS1	13
23	PARG	5
23	SPTBN2	0.6
23	HDAC1	22
23	KIF7	2
23	CEP135	4
23	PIK3R1	35
23	EVC2	2
23	UBB	308
23	YWHAH	76
23	ERBB2	8
23	HIST1H4H	2
23	MAPK1	18
23	LIMK1	3
23	TAGAP	4
